CustomerID,churn_probability,churn_actual,CLTV,Monthly Charges,reason_1,reason_2,reason_3
4376-KFVRS,0.0719,0,4842,114.05,Fiber optic internet,No dependents,Paperless billing
2754-SDJRD,0.6534,0,5157,100.15,Fiber optic internet,New customer (8 months),Month-to-month contract
9917-KWRBE,0.1065,0,2894,78.35,No dependents,Paperless billing,No tech support
0365-GXEZS,0.4078,0,2831,78.2,Fiber optic internet,Month-to-month contract,No dependents
9385-NXKDA,0.0414,0,4324,82.65,No dependents,Paperless billing,No tech support
4686-UXDML,0.5707,0,2113,99.85,Fiber optic internet,Month-to-month contract,No dependents
2227-JRSJX,0.4219,0,5324,99.15,Fiber optic internet,Month-to-month contract,No dependents
4830-FAXFM,0.0366,0,2378,24.1,Month-to-month contract,Paperless billing,Relatively short tenure (19 months)
1830-IPXVJ,0.0024,0,6108,19.75,No tech support,No online security,No online backup
4690-LLKUA,0.3122,1,3797,45.05,Month-to-month contract,No dependents,Pays by electronic check
5804-HYIEZ,0.1276,0,4583,106.05,Fiber optic internet,Month-to-month contract,Pays by electronic check
2388-LAESQ,0.0749,0,4796,114.85,Fiber optic internet,No dependents,Paperless billing
5533-RJFTJ,0.2032,0,5214,30.2,Month-to-month contract,No dependents,Paperless billing
4706-AXVKM,0.637,1,5118,84.8,Fiber optic internet,Month-to-month contract,New customer (11 months)
0997-YTLNY,0.0312,0,3749,48.8,Month-to-month contract,Relatively short tenure (19 months),No online security
7971-HLVXI,0.0235,0,6202,84.5,Fiber optic internet,Paperless billing,No tech support
7337-CINUD,0.0093,0,5206,19.5,New customer (8 months),No tech support,No online security
1379-FRVEB,0.2592,0,4602,91.0,Fiber optic internet,Month-to-month contract,Relatively short tenure (15 months)
4753-PADAS,0.2527,0,5027,105.7,Fiber optic internet,No dependents,Paperless billing
5701-GUXDC,0.1083,0,2519,35.4,No dependents,No tech support,No online backup
7235-NXZCP,0.7504,1,5378,74.85,New customer (2 months),Fiber optic internet,Month-to-month contract
0668-OGMHD,0.2969,0,3766,28.5,Month-to-month contract,No dependents,Pays by electronic check
2812-REYAT,0.0458,0,5579,20.05,No dependents,Paperless billing,No tech support
8779-YIQQA,0.0116,0,3243,19.8,No tech support,No online security,Relatively short tenure (21 months)
9701-CDXHR,0.2608,0,5187,69.15,Fiber optic internet,Month-to-month contract,No dependents
7130-CTCUS,0.2184,0,3324,54.55,Month-to-month contract,No dependents,Relatively short tenure (16 months)
1894-IGFSG,0.5242,1,3161,89.25,Fiber optic internet,Month-to-month contract,No dependents
0871-URUWO,0.7097,1,2003,102.25,Fiber optic internet,Month-to-month contract,No dependents
0057-QBUQH,0.0063,0,4797,25.1,Pays by electronic check,Paperless billing,No tech support
9611-CTWIH,0.8373,1,3591,89.45,New customer (3 months),Fiber optic internet,Month-to-month contract
8058-DMYRU,0.4612,0,5232,90.05,Fiber optic internet,Month-to-month contract,No dependents
5351-QESIO,0.1851,0,4276,24.2,New customer (1 month),Month-to-month contract,No tech support
4302-ZYFEL,0.0056,0,5366,20.55,Paperless billing,No tech support,No online security
6134-KWTBV,0.0117,0,5822,23.4,No dependents,No tech support,No online security
2034-GDRCN,0.8412,1,4157,90.4,New customer (2 months),Fiber optic internet,Month-to-month contract
9544-PYPSJ,0.1166,0,5868,96.1,Fiber optic internet,Month-to-month contract,Paperless billing
4208-UFFGW,0.4168,1,5900,44.95,New customer (2 months),Month-to-month contract,No dependents
9537-JALFH,0.002,0,6058,19.9,No tech support,No online security,No online backup
4415-IJZTP,0.8114,1,2016,74.5,New customer (1 month),Fiber optic internet,Month-to-month contract
4701-MLJPN,0.1836,1,2933,55.25,Month-to-month contract,No dependents,Pays by electronic check
7515-LODFU,0.0072,0,4042,20.3,No dependents,No tech support,No online security
4927-WWOOZ,0.8787,0,4889,91.45,New customer (2 months),Fiber optic internet,Month-to-month contract
4067-HLYQI,0.311,0,4860,70.4,Fiber optic internet,Month-to-month contract,No dependents
6184-DYUOB,0.3652,0,2941,19.6,New customer (3 months),Month-to-month contract,No dependents
9209-NWPGU,0.0496,0,5827,65.4,No dependents,Pays by electronic check,No online backup
9851-KIELU,0.5337,1,5803,110.1,Fiber optic internet,New customer (10 months),Month-to-month contract
3199-XGZCY,0.664,0,2332,75.25,Fiber optic internet,New customer (8 months),Month-to-month contract
4226-KKDON,0.3612,0,3804,66.65,New customer (8 months),Month-to-month contract,No dependents
1085-LDWAM,0.0056,0,5188,20.35,Paperless billing,No tech support,No online security
6825-UYPFK,0.3708,1,2115,75.6,Fiber optic internet,Month-to-month contract,No dependents
1767-CJKBA,0.0104,0,6025,25.1,No dependents,No tech support,No online security
7181-BQYBV,0.8766,1,4811,102.45,New customer (1 month),Fiber optic internet,Month-to-month contract
0178-CIIKR,0.2395,0,5949,19.95,New customer (3 months),Month-to-month contract,No dependents
4256-ZWTZI,0.1193,0,2789,51.0,New customer (5 months),Month-to-month contract,Paperless billing
9537-VHDTA,0.0954,0,3699,51.2,New customer (1 month),Month-to-month contract,No tech support
2754-XBHTB,0.5595,1,3847,77.65,Fiber optic internet,New customer (9 months),Month-to-month contract
5975-BAICR,0.0226,0,2504,63.7,Paperless billing,No tech support,No online backup
3301-VKTGC,0.0271,0,4380,85.5,Fiber optic internet,Paperless billing,No tech support
2877-VDUER,0.0261,0,5691,40.9,No online security,No online backup,
7717-BICXI,0.0025,0,4020,20.55,No tech support,No online security,No online backup
0562-FGDCR,0.0037,0,4703,74.55,,,
3705-PSNGL,0.0418,1,5398,20.4,No dependents,Pays by electronic check,Paperless billing
0048-LUMLS,0.063,0,5263,91.2,Fiber optic internet,No tech support,No online security
6497-TILVL,0.0617,0,3097,50.7,New customer (7 months),Month-to-month contract,No tech support
2108-YKQTY,0.3665,1,4930,50.7,New customer (4 months),Month-to-month contract,No dependents
3658-KIBGF,0.4747,1,2833,54.9,New customer (1 month),Month-to-month contract,No dependents
5482-NUPNA,0.3024,1,5730,60.4,New customer (4 months),Month-to-month contract,No dependents
7410-KTVFV,0.2782,1,2815,49.55,Month-to-month contract,No dependents,Relatively short tenure (18 months)
9033-EOXWV,0.1979,1,4149,74.05,New customer (12 months),No dependents,No online security
8821-XNHVZ,0.7897,1,2943,80.05,New customer (1 month),Fiber optic internet,Month-to-month contract
8224-KDLKN,0.0025,0,4275,25.0,No tech support,No online security,No online backup
4825-FUREZ,0.0211,0,5940,20.25,No dependents,Pays by electronic check,No tech support
7534-BFESC,0.5403,1,2018,76.1,Fiber optic internet,Month-to-month contract,No dependents
9138-EFSMO,0.0636,0,4237,78.95,Fiber optic internet,No tech support,No online security
4227-OJHAL,0.0157,0,4156,73.0,Paperless billing,No tech support,No device protection
7279-NMVJC,0.0464,0,2093,19.9,No dependents,Relatively short tenure (17 months),No tech support
8591-TKMZH,0.022,0,4952,111.1,Fiber optic internet,Paperless billing,
9283-LZQOH,0.5816,1,3687,74.4,Fiber optic internet,Month-to-month contract,No dependents
3594-IVHJZ,0.3086,0,2606,20.45,New customer (2 months),Month-to-month contract,No dependents
1945-XISKS,0.0097,0,4994,19.65,No dependents,No tech support,No online security
4359-INNWN,0.0461,0,4828,20.05,No dependents,Relatively short tenure (17 months),No tech support
7649-SIJJF,0.025,0,6045,80.1,No dependents,Paperless billing,No device protection
9254-RBFON,0.291,1,5160,98.6,Fiber optic internet,No dependents,Relatively short tenure (17 months)
0970-ETWGE,0.8444,1,4996,89.55,New customer (1 month),Fiber optic internet,Month-to-month contract
7762-ONLJY,0.0358,0,4122,19.7,New customer (6 months),No tech support,No online security
6710-HSJRD,0.4837,0,5239,114.1,Fiber optic internet,Month-to-month contract,No dependents
8873-GLDMH,0.722,0,4220,73.85,New customer (6 months),Fiber optic internet,Month-to-month contract
9907-SWKKF,0.5345,1,4842,25.05,New customer (1 month),Month-to-month contract,No dependents
4658-HCOHW,0.5786,1,3123,102.8,Fiber optic internet,Month-to-month contract,No dependents
9330-VOFSZ,0.1258,0,5942,110.8,Fiber optic internet,No dependents,Paperless billing
2860-RANUS,0.5488,1,3336,85.8,Fiber optic internet,Month-to-month contract,No dependents
6234-PFPXL,0.3679,0,3207,95.9,Fiber optic internet,Month-to-month contract,No dependents
7205-BAIAD,0.0163,0,3091,20.6,No dependents,Paperless billing,No tech support
