CustomerID,churn_actual,churn_probability,CLTV,Monthly Charges,cost,value_saved,ev,realized
4376-KFVRS,0,0.0719,4842,114.05,141.86,1452.6,-115.7578,-141.86
2754-SDJRD,0,0.6534,5157,100.15,125.18,1547.1,127.5445,-125.18
9917-KWRBE,0,0.1065,2894,78.35,99.02,868.2,-75.9103,-99.02
0365-GXEZS,0,0.4078,2831,78.2,98.84,849.3,-12.2531,-98.84
9385-NXKDA,0,0.0414,4324,82.65,104.18,1297.2,-90.741,-104.18
4686-UXDML,0,0.5707,2113,99.85,124.82,633.9,-34.3729,-124.82
2227-JRSJX,0,0.4219,5324,99.15,123.98,1597.2,44.4692,-123.98
4830-FAXFM,0,0.0366,2378,24.1,33.92,713.4,-27.4006,-33.92
1830-IPXVJ,0,0.0024,6108,19.75,28.7,1832.4,-27.5853,-28.7
4690-LLKUA,1,0.3122,3797,45.05,59.06,1139.1,29.8472,225.715
5804-HYIEZ,0,0.1276,4583,106.05,132.26,1374.9,-88.4028,-132.26
2388-LAESQ,0,0.0749,4796,114.85,142.82,1438.8,-115.8781,-142.82
5533-RJFTJ,0,0.2032,5214,30.2,41.24,1564.2,38.2317,-41.24
4706-AXVKM,1,0.637,5118,84.8,106.76,1535.4,137.7369,277.09
0997-YTLNY,0,0.0312,3749,48.8,63.56,1124.7,-54.7947,-63.56
7971-HLVXI,0,0.0235,6202,84.5,106.4,1860.6,-95.472,-106.4
7337-CINUD,0,0.0093,5206,19.5,28.4,1561.8,-24.7832,-28.4
1379-FRVEB,0,0.2592,4602,91.0,114.2,1380.6,-24.7392,-114.2
4753-PADAS,0,0.2527,5027,105.7,131.84,1508.1,-36.5836,-131.84
5701-GUXDC,0,0.1083,2519,35.4,47.48,755.7,-27.0235,-47.48
7235-NXZCP,1,0.7504,5378,74.85,94.82,1613.4,207.8388,308.53
0668-OGMHD,0,0.2969,3766,28.5,39.2,1129.8,44.6647,-39.2
2812-REYAT,0,0.0458,5579,20.05,29.06,1673.7,-9.8962,-29.06
8779-YIQQA,0,0.0116,3243,19.8,28.76,972.9,-25.948,-28.76
9701-CDXHR,0,0.2608,5187,69.15,87.98,1556.1,13.4964,-87.98
7130-CTCUS,0,0.2184,3324,54.55,70.46,997.2,-16.024,-70.46
1894-IGFSG,1,0.5242,3161,89.25,112.1,948.3,12.1695,124.975
0871-URUWO,1,0.7097,2003,102.25,127.7,600.9,-21.0874,22.525
0057-QBUQH,0,0.0063,4797,25.1,35.12,1439.1,-32.859,-35.12
9611-CTWIH,1,0.8373,3591,89.45,112.34,1077.3,113.1773,156.985
8058-DMYRU,0,0.4612,5232,90.05,113.06,1569.6,67.9137,-113.06
5351-QESIO,0,0.1851,4276,24.2,34.04,1282.8,25.3069,-34.04
4302-ZYFEL,0,0.0056,5366,20.55,29.66,1609.8,-27.3887,-29.66
6134-KWTBV,0,0.0117,5822,23.4,33.08,1746.6,-27.9727,-33.08
2034-GDRCN,1,0.8412,4157,90.4,113.48,1247.1,148.7813,198.295
9544-PYPSJ,0,0.1166,5868,96.1,120.32,1760.4,-68.993,-120.32
4208-UFFGW,1,0.4168,5900,44.95,58.94,1770.0,125.4841,383.56
9537-JALFH,0,0.002,6058,19.9,28.88,1817.4,-27.9871,-28.88
4415-IJZTP,1,0.8114,2016,74.5,94.4,604.8,28.2912,56.8
4701-MLJPN,1,0.1836,2933,55.25,71.3,879.9,-30.9092,148.675
7515-LODFU,0,0.0072,4042,20.3,29.36,1212.6,-27.1896,-29.36
4927-WWOOZ,0,0.8787,4889,91.45,114.74,1466.7,207.4632,-114.74
4067-HLYQI,0,0.311,4860,70.4,89.48,1458.0,23.8946,-89.48
6184-DYUOB,0,0.3652,2941,19.6,28.52,882.3,52.0393,-28.52
9209-NWPGU,0,0.0496,5827,65.4,83.48,1748.1,-61.8145,-83.48
9851-KIELU,1,0.5337,5803,110.1,137.12,1740.9,95.1528,298.105
3199-XGZCY,0,0.664,2332,75.25,95.3,699.6,20.8407,-95.3
4226-KKDON,0,0.3612,3804,66.65,84.98,1141.2,18.0627,-84.98
1085-LDWAM,0,0.0056,5188,20.35,29.42,1556.4,-27.2225,-29.42
6825-UYPFK,1,0.3708,2115,75.6,95.72,634.5,-36.8991,62.905
1767-CJKBA,0,0.0104,6025,25.1,35.12,1807.5,-30.4149,-35.12
7181-BQYBV,1,0.8766,4811,102.45,127.94,1443.3,188.3483,232.885
0178-CIIKR,0,0.2395,5949,19.95,28.94,1784.7,77.9001,-28.94
4256-ZWTZI,0,0.1193,2789,51.0,66.2,836.7,-41.2415,-66.2
9537-VHDTA,0,0.0954,3699,51.2,66.44,1109.7,-39.9672,-66.44
2754-XBHTB,1,0.5595,3847,77.65,98.18,1154.1,63.2622,190.345
5975-BAICR,0,0.0226,2504,63.7,81.44,751.2,-77.2035,-81.44
3301-VKTGC,0,0.0271,4380,85.5,107.6,1314.0,-98.7108,-107.6
2877-VDUER,0,0.0261,5691,40.9,54.08,1707.3,-42.9602,-54.08
7717-BICXI,0,0.0025,4020,20.55,29.66,1206.0,-28.9101,-29.66
0562-FGDCR,0,0.0037,4703,74.55,94.46,1410.9,-93.1481,-94.46
3705-PSNGL,1,0.0418,5398,20.4,29.48,1619.4,-12.5541,375.37
0048-LUMLS,0,0.063,5263,91.2,114.44,1578.9,-89.5714,-114.44
6497-TILVL,0,0.0617,3097,50.7,65.84,929.1,-51.5113,-65.84
2108-YKQTY,1,0.3665,4930,50.7,65.84,1479.0,69.6838,303.91
3658-KIBGF,1,0.4747,2833,54.9,70.88,849.9,29.9805,141.595
5482-NUPNA,1,0.3024,5730,60.4,77.48,1719.0,52.4738,352.27
7410-KTVFV,1,0.2782,2815,49.55,64.46,844.5,-5.7284,146.665
9033-EOXWV,1,0.1979,4149,74.05,93.86,1244.7,-32.2857,217.315
8821-XNHVZ,1,0.7897,2943,80.05,101.06,882.9,73.2452,119.665
8224-KDLKN,0,0.0025,4275,25.0,35.0,1282.5,-34.1974,-35.0
4825-FUREZ,0,0.0211,5940,20.25,29.3,1782.0,-19.9118,-29.3
7534-BFESC,1,0.5403,2018,76.1,96.32,605.4,-14.5526,55.03
9138-EFSMO,0,0.0636,4237,78.95,99.74,1271.1,-79.5143,-99.74
4227-OJHAL,0,0.0157,4156,73.0,92.6,1246.8,-87.6999,-92.6
7279-NMVJC,0,0.0464,2093,19.9,28.88,627.9,-21.5926,-28.88
