CustomerID,Senior Citizen,Partner,Dependents,Paperless Billing,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Tenure Months,Monthly Charges,Total Charges,Protection Count,Abs Charge Change,Tenure Bucket_7-12,Tenure Bucket_13-24,Tenure Bucket_25-48,Tenure Bucket_49-72,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Churn Value
3668-QPYBK,0,0,0,1,1,1,0,0,0,0,2,53.85,108.15,2,0.22500000000000142,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9237-HQITU,0,0,1,1,0,0,0,0,0,0,2,70.7,151.65,0,5.125,0,0,0,0,0,0,1,0,0,0,0,1,0,1
9305-CDSKC,0,0,1,1,0,0,1,0,1,1,8,99.65,820.5,1,2.9124999999999943,1,0,0,0,0,1,1,0,0,0,0,1,0,1
7892-POOKP,0,1,1,1,0,0,1,1,1,1,28,104.8,3046.05,2,3.9875000000000114,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0280-XJGEX,0,0,1,1,0,1,1,0,1,1,49,103.7,5036.3,2,0.9183673469387799,0,0,0,1,0,1,1,0,0,0,0,0,0,1
4190-MFLUW,0,1,0,0,0,0,1,1,0,0,10,55.2,528.35,2,2.365000000000002,1,0,0,0,0,0,0,0,0,0,1,0,0,1
8779-QRDMV,1,0,0,1,0,0,1,0,0,1,1,39.65,39.65,1,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1066-JKSGK,0,0,0,0,0,0,0,0,0,0,1,20.15,20.15,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
6467-CHFZW,0,1,1,1,0,1,0,0,1,1,47,99.35,4749.15,1,1.695744680851064,0,0,1,0,0,1,1,0,0,0,0,1,0,1
8665-UTDHZ,0,1,0,0,0,1,0,0,0,0,1,30.2,30.2,1,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
8773-HHUOZ,0,0,0,1,0,0,0,0,1,1,17,64.7,1093.1,0,0.4000000000000057,0,1,0,0,0,0,0,0,0,0,0,0,1,1
6047-YHPVI,0,0,1,1,0,0,0,0,0,0,5,69.7,316.9,0,6.320000000000007,0,0,0,0,0,0,1,0,0,0,0,1,0,1
5380-WJKOV,0,0,1,1,0,1,1,0,1,1,34,106.35,3549.25,2,1.9602941176470523,0,0,1,0,0,1,1,0,0,0,0,1,0,1
8168-UQWWF,0,0,1,1,0,0,1,0,1,1,11,97.85,1105.4,1,2.640909090909105,1,0,0,0,0,1,1,0,0,0,0,0,0,1
7760-OYPDY,0,0,1,1,0,0,0,0,1,0,2,80.65,144.15,0,8.575000000000003,0,0,0,0,0,0,1,0,0,0,0,1,0,1
9420-LOJKX,0,0,1,1,1,1,0,0,1,1,15,99.1,1426.4,2,4.006666666666661,0,1,0,0,0,0,1,0,0,0,1,0,0,1
7495-OOKFY,1,1,1,1,0,1,0,0,0,0,8,80.65,633.3,1,1.4875000000000114,1,0,0,0,0,1,1,0,0,0,1,0,0,1
1658-BYGOY,1,0,1,1,0,0,0,0,1,1,18,95.45,1752.55,0,1.9138888888888772,0,1,0,0,0,1,1,0,0,0,0,1,0,1
5698-BQJOH,0,0,1,0,0,0,0,0,1,1,9,94.4,857.25,0,0.8499999999999943,1,0,0,0,0,1,1,0,0,0,0,1,0,1
5919-TMRGD,0,0,1,1,0,0,0,0,1,0,1,79.35,79.35,0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
9191-MYQKX,0,1,1,1,0,0,1,0,0,0,7,75.15,496.9,1,4.164285714285725,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8637-XJIVR,0,0,1,1,1,0,0,0,0,0,12,78.95,927.35,1,1.6708333333333343,1,0,0,0,0,1,1,0,0,0,0,1,0,1
0278-YXOOG,0,0,0,0,0,0,0,0,0,0,5,21.05,113.85,0,1.7199999999999989,0,0,0,0,0,0,0,1,0,0,0,0,1,1
4598-XLKNJ,1,1,1,1,0,1,1,0,1,1,25,98.5,2514.5,2,2.0799999999999983,0,0,1,0,0,0,1,0,0,0,0,1,0,1
3192-NQECA,0,1,0,1,0,1,1,1,1,1,68,110.0,7611.85,3,1.9389705882352928,0,0,0,1,0,1,1,0,0,1,0,0,0,1
0486-HECZI,0,1,1,1,1,1,0,0,1,0,55,96.75,5238.9,2,1.4972727272727298,0,0,0,1,0,1,1,0,0,0,0,1,0,1
4846-WHAFZ,1,1,1,1,0,0,0,0,0,0,37,76.5,2868.15,0,1.0175675675675677,0,0,1,0,0,1,1,0,0,0,0,1,0,1
5299-RULOA,0,1,1,1,1,0,0,0,1,1,10,100.25,1064.65,1,6.215000000000003,1,0,0,0,0,1,1,0,0,0,0,1,0,1
0404-SWRVG,0,0,1,1,0,0,0,0,0,0,3,74.4,229.55,0,2.11666666666666,0,0,0,0,0,1,1,0,0,0,0,1,0,1
4412-YLTKF,1,0,1,1,0,0,1,0,0,0,27,78.05,2135.5,1,1.042592592592598,0,0,1,0,0,1,1,0,0,0,0,1,0,1
6207-WIOLX,0,1,0,1,1,1,1,0,1,1,25,58.6,1502.65,3,1.5060000000000002,0,0,1,0,1,0,0,0,0,0,1,0,0,1
3091-FYHKI,0,0,0,1,0,0,0,0,0,1,1,35.45,35.45,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2372-HWUHI,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,0,3.7250000000000014,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0390-DCFDQ,1,1,1,1,0,0,0,0,0,0,1,70.45,70.45,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
4080-OGPJL,0,0,0,0,1,0,0,1,0,1,8,71.15,563.65,2,0.6937500000000085,1,0,0,0,0,1,0,0,0,0,0,1,0,1
2135-RXIHG,0,0,0,1,0,0,0,0,0,0,1,45.65,45.65,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3874-EQOEP,0,0,1,0,0,0,0,0,1,1,7,95.0,655.5,0,1.3571428571428612,1,0,0,0,0,1,1,0,0,0,0,0,1,1
0867-MKZVY,0,1,1,0,1,0,0,0,0,0,20,82.4,1592.35,1,2.782500000000013,0,1,0,0,0,1,1,0,0,0,0,1,0,1
3376-BMGFE,0,0,1,1,0,0,0,0,0,0,4,70.9,273.0,0,2.6500000000000057,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3445-HXXGF,1,1,0,1,0,1,1,0,0,1,58,45.3,2651.2,2,0.4103448275862078,0,0,0,1,1,0,0,0,0,0,0,1,0,1
1875-QIVME,0,1,1,1,0,0,1,1,1,1,2,104.4,242.8,2,17.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
0691-JVSYA,0,1,0,1,0,0,1,0,1,1,53,94.85,5000.2,1,0.5066037735848994,0,0,0,1,0,0,1,0,1,0,0,0,0,1
2656-FMOKZ,1,0,1,1,0,0,0,0,0,0,15,74.45,1145.7,0,1.9300000000000068,0,1,0,0,0,1,1,0,0,0,0,0,1,1
2070-FNEXE,1,0,1,0,1,0,0,0,0,0,7,76.45,503.6,1,4.507142857142853,1,0,0,0,0,0,1,0,0,0,0,0,0,1
6317-YPKDH,0,0,0,0,0,1,0,0,0,0,1,29.95,29.95,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9367-WXLCH,0,0,1,0,0,0,0,0,0,1,8,84.5,662.65,0,1.6687500000000028,1,0,0,0,0,1,1,0,0,0,0,0,0,1
1918-ZBFQJ,0,0,1,1,0,1,1,0,0,0,13,79.25,1111.65,2,6.261538461538464,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1024-GUALD,0,1,0,1,0,0,0,0,0,0,1,24.8,24.8,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2472-OVKUP,0,1,1,1,0,1,1,0,0,1,6,91.0,531.0,2,2.5,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1285-OKIPP,0,0,1,0,0,0,0,0,0,1,1,79.9,79.9,0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
7825-ECJRF,0,0,1,1,1,0,1,1,1,1,19,106.6,1934.45,3,4.786842105263148,0,1,0,0,0,0,1,0,0,0,0,1,0,1
7841-TZDMQ,0,0,0,1,0,0,0,0,0,0,2,46.0,84.5,0,3.75,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9408-SSNVZ,0,0,1,1,0,0,0,0,0,0,4,70.15,268.35,0,3.0625,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0742-MOABM,0,1,0,0,0,0,0,1,0,0,4,50.05,179.35,1,5.212499999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2232-DMLXU,0,1,0,0,0,0,0,0,1,0,1,55.2,55.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8937-RDTHP,0,0,1,1,1,0,0,0,0,1,1,84.6,84.6,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1251-KRREG,0,0,0,1,0,1,0,0,0,0,2,54.4,114.1,1,2.6499999999999986,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0094-OIFMO,1,0,1,1,0,1,0,0,1,1,11,95.0,1120.3,1,6.845454545454544,1,0,0,0,0,0,1,0,0,0,0,1,0,1
9947-OTFQU,1,0,0,1,0,1,0,0,0,0,15,74.4,1074.3,1,2.7800000000000153,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0322-YINQP,0,0,0,1,1,0,0,0,0,0,1,48.55,48.55,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4629-NRXKX,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15,0,3.174999999999997,0,0,0,0,0,0,1,0,0,0,0,1,0,1
9514-JDSKI,1,1,0,0,0,1,0,0,1,0,1,40.2,40.2,1,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
4959-JOSRX,0,1,0,1,0,0,0,0,0,0,2,44.6,80.55,0,4.325000000000003,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7273-TEFQD,1,0,0,1,0,0,1,0,0,1,3,41.15,132.2,1,2.9166666666666643,0,0,0,0,1,0,0,0,0,0,0,1,0,1
3606-TWKGI,1,0,0,1,0,1,1,0,1,1,13,106.9,1364.3,2,1.9538461538461576,0,1,0,0,0,1,1,0,0,0,0,1,0,1
6323-AYBRX,0,0,0,0,0,0,0,0,0,0,59,19.35,1099.6,0,0.7127118644067814,0,0,0,1,0,0,0,1,0,1,0,0,1,1
4385-GZQXV,1,0,0,1,0,0,0,1,1,1,16,94.45,1511.2,1,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
6366-ZGQGL,0,0,0,0,0,0,0,0,0,0,1,24.8,24.8,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5940-AHUHD,0,0,0,0,0,0,0,0,0,0,1,70.6,70.6,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
